"code";"url";"product_name";"packaging";"brand"
"8076809504751";"https://world-fr.openfoodfacts.org/produit/8076809504751";"Pan bauletto integrale";"Plastic";"Barilla,mulino bianco"
"2000000052715";"https://world-fr.openfoodfacts.org/produit/2000000052715";"pan carrè Mulino Bianco";"carta";"Mulino Bianco,Barilla"
"8076809574075";"https://world-fr.openfoodfacts.org/produit/8076809574075";"Pan di stelle";"sachet";"Barilla"
"8076809542753";"https://world-fr.openfoodfacts.org/produit/8076809542753";"Pan Goccioli";"Sachet,plastique";"Mulino Bianco,Barilla, Barilla Mulino Bianco"
"8076809529679";"https://world-fr.openfoodfacts.org/produit/8076809529679";"Pangrattato";"plastica";"Mulino Bianco,Barilla"
"8076809572187";"https://world-fr.openfoodfacts.org/produit/8076809572187";"Pangri";"plastica";"Barilla"
"2000000052725";"https://world-fr.openfoodfacts.org/produit/2000000052725";"pangrì Mulino Bianco";"carta";"Mulino Bianco,Barilla"
"8076808201293";"https://world-fr.openfoodfacts.org/produit/8076808201293";"Pâtes aux oeufs Tagliatelle";"Boîte,Carton, sachet";"Barilla"
"8076800315097";"https://world-fr.openfoodfacts.org/produit/8076800315097";"Pâtes Bucatini";"Carton,paquet";"Barilla"
"8076808070882";"https://world-fr.openfoodfacts.org/produit/8076808070882";"Pâtes Cannelloni";"boite,carton,boite, Karton, cartone, boîte";"Barilla,La Collezione d'Italia"
"8076800195019";"https://world-fr.openfoodfacts.org/produit/8076800195019";"Pâtes Capellini";"fr:Boîte,fr:Carton,fr:Emballage carton,fr:Point vert,nl:PAP 21,fr:Recyclage carton,boîte,Produkt, boîte, Paquet";"Barilla"
"8076809525435";"https://world-fr.openfoodfacts.org/produit/8076809525435";"Pâtes Capellini";"Carton,carton";"Barilla"
"8076809519960";"https://world-fr.openfoodfacts.org/produit/8076809519960";"Pâtes Casarecce";"sec,carton";"Barilla,Barilla collezione"
"8076809523707";"https://world-fr.openfoodfacts.org/produit/8076809523707";"Pâtes Castellane";"Boîte,Carton,boîte, boîte, boîte, boîte";"Barilla,La Collezione d'Italia"
"8076808140325";"https://world-fr.openfoodfacts.org/produit/8076808140325";"Pâtes Coquillettes";"Boîte,Carton,boîte, boîte";"Barilla"
"8076809514439";"https://world-fr.openfoodfacts.org/produit/8076809514439";"Pâtes Coquillettes";"Boîte,Carton,boîte";"Barilla"
"8076809532709";"https://world-fr.openfoodfacts.org/produit/8076809532709";"Pâtes Coquillettes au blé complet";"Carton";"Barilla"
"8076809570664";"https://world-fr.openfoodfacts.org/produit/8076809570664";"Pâtes Coquillettes biologiques";"carton";"Barilla"
"8076809572224";"https://world-fr.openfoodfacts.org/produit/8076809572224";"Pâtes Coquillettes cuisson 3 min";"Carton, Sachet plastique";"Barilla"
"8076809535748";"https://world-fr.openfoodfacts.org/produit/8076809535748";"Pâtes Farfalle";"Boîte,Carton,100 % recyclable";"Barilla"
"8076809532440";"https://world-fr.openfoodfacts.org/produit/8076809532440";"Pâtes Farfalle au blé complet";"Boîte,Carton,100 % recyclable,boîte, boîte, boîte, boîte, boîte, box, boîte, boîte, boîte, boîte, boîte, boîte, boîte";"Barilla"
"8076804765591";"https://world-fr.openfoodfacts.org/produit/8076804765591";"Pâtes Farfalline";"carton";"Barilla"
"8076809523776";"https://world-fr.openfoodfacts.org/produit/8076809523776";"Pâtes Fettuccine";"Karton";"Barilla"
"8076802085981";"https://world-fr.openfoodfacts.org/produit/8076802085981";"Pâtes Fusilli";"paquet,carton,karton,Packung(en),emballage, kunststoff, Produkt";"Barilla"
"8076809545860";"https://world-fr.openfoodfacts.org/produit/8076809545860";"Pâtes Fusilli";"Carton, packet, sachet";"Academia Barilla,Barilla, ACADEMIA"
"8076809570633";"https://world-fr.openfoodfacts.org/produit/8076809570633";"Pâtes Fusilli biologiques";"Carton";"Barilla"
"8076809574631";"https://world-fr.openfoodfacts.org/produit/8076809574631";"Pâtes Fusilli Bucati Corti";"carton";"Barilla"
"8076809523752";"https://world-fr.openfoodfacts.org/produit/8076809523752";"Pâtes Lasagne aux épinards";"carton, Karton, produkt";"Barilla"
"8076809576888";"https://world-fr.openfoodfacts.org/produit/8076809576888";"Pâtes Lasagnette";"boîte";"Barilla"
"8076809523509";"https://world-fr.openfoodfacts.org/produit/8076809523509";"Pâtes Linguine";"Boîte,Carton 21 (PAP),boîte,emballage, product";"Barilla"
"8076809545846";"https://world-fr.openfoodfacts.org/produit/8076809545846";"Pâtes Linguine";"Cartonnette,Boite,emballage";"Barilla,Academia Barilla,ACADEMIA"
"8076809514422";"https://world-fr.openfoodfacts.org/produit/8076809514422";"Pâtes Maccheroni";"carton,carton,boite";"Barilla"
"8076808050440";"https://world-fr.openfoodfacts.org/produit/8076808050440";"Pâtes Maccheroni";"boite,carton,karton,canette,box,boîte,Produkt,paquet, boîte, boîte, Packung(en), boîte, boîte";"Barilla"
"8076800000061";"https://world-fr.openfoodfacts.org/produit/8076800000061";"Pâtes Mafaldine";"carton,boîte";"Barilla"
"8076809521567";"https://world-fr.openfoodfacts.org/produit/8076809521567";"Pâtes Mini Farfalle";"Boîte,Carton,boîte";"Barilla,Barilla Piccolini"
"8076809521581";"https://world-fr.openfoodfacts.org/produit/8076809521581";"Pâtes Mini Penne Rigate";"Carton,Boîte";"Barilla,Barilla Piccolini"
"8076809523523";"https://world-fr.openfoodfacts.org/produit/8076809523523";"Pâtes Mini Pipe Rigate";"Boîte,Carton,boîte";"Barilla,Barilla Piccolini"
"8076809519977";"https://world-fr.openfoodfacts.org/produit/8076809519977";"Pâtes Orecchiette";"carton,boîte";"Barilla"
